listing_price,annual_revenue,annual_profit,multiple_achieved,platform,niche_category,fulfillment_model,traffic_channel,listed_date,sold_date,source_marketplace,listing_status,data_completeness_score,notes
48000,86400,14400,0.56,Amazon FBA,supplements,FBA,organic,2025-04-15,NULL,empire_flippers,for_sale,60,Pet wellness category
42000,72600,12960,0.58,Shopify,apparel,merchant_fulfilled,paid_ads,2025-04-10,NULL,empire_flippers,for_sale,55,Fashion accessories
38500,68340,11340,0.56,Amazon FBA,home,FBA,organic,2025-04-01,NULL,empire_flippers,for_sale,58,Home organization
35000,61200,9720,0.57,Shopify,health,merchant_fulfilled,email_marketing,2025-03-25,NULL,empire_flippers,for_sale,52,Wellness products
450000,975000,195000,0.46,WooCommerce,electronics,dropshipping,organic,2026-02-15,2026-06-01,proprietor,sold,72,Completed sale. Electronics
385000,840000,168000,0.46,Shopify,home & garden,merchant_fulfilled,paid_ads,2026-01-20,2026-05-15,proprietor,sold,70,Garden tools
320000,720000,144000,0.44,WooCommerce,apparel,dropshipping,paid_ads,2025-12-10,2026-04-20,proprietor,sold,65,Fashion dropshipping
285000,600000,120000,0.48,Shopify,supplements,merchant_fulfilled,email_marketing,2025-11-15,2026-03-25,proprietor,sold,68,Health supplements
245000,510000,102000,0.48,WooCommerce,toys,merchant_fulfilled,organic,2025-10-20,2026-02-28,proprietor,sold,60,Toy niche
210000,420000,84000,0.50,Shopify,pet supplies,merchant_fulfilled,email_marketing,2025-09-25,2026-02-10,proprietor,sold,65,Pet care
180000,360000,72000,0.50,WooCommerce,sports,merchant_fulfilled,paid_ads,2025-08-30,2026-01-15,proprietor,sold,60,Sports equipment
155000,310000,62000,0.50,Shopify,beauty,merchant_fulfilled,email_marketing,2025-08-05,2025-12-20,proprietor,sold,62,Beauty products
135000,270000,54000,0.50,WooCommerce,home decor,merchant_fulfilled,organic,2025-07-10,2025-11-25,proprietor,sold,55,Home decoration
625000,1250000,250000,0.50,Shopify,kitchen,merchant_fulfilled,paid_ads,2026-04-01,NULL,proprietor,active,75,Active listing. Kitchen products
550000,1100000,220000,0.50,WooCommerce,outdoor,merchant_fulfilled,organic,2026-03-15,NULL,proprietor,active,70,Outdoor gear
475000,950000,190000,0.50,Shopify,sports,merchant_fulfilled,email_marketing,2026-02-28,NULL,proprietor,active,68,Sports niche
400000,800000,160000,0.50,WooCommerce,tools,merchant_fulfilled,paid_ads,2026-02-01,NULL,proprietor,active,65,Tools marketplace
350000,700000,140000,0.50,Shopify,furniture,merchant_fulfilled,organic,2026-01-15,NULL,proprietor,active,62,Furniture store
895000,1580000,316000,0.57,Amazon FBA,toys & games,FBA,organic,2026-07-10,NULL,flippa,for_sale,88,Recently listed on Flippa
750000,1320000,264000,0.57,Shopify,hobbies,merchant_fulfilled,paid_ads,2026-06-20,NULL,flippa,for_sale,85,Hobby marketplace
680000,1200000,240000,0.57,WooCommerce,collectibles,merchant_fulfilled,organic,2026-05-25,NULL,flippa,for_sale,82,Collectible items
580000,1020000,204000,0.57,Amazon FBA,apparel,FBA,organic,2026-04-30,2026-06-15,flippa,completed,90,Verified Flippa auction
520000,915000,183000,0.57,Shopify,accessories,merchant_fulfilled,email_marketing,2026-03-28,2026-06-05,flippa,completed,88,Fashion accessories sale
475000,835000,167000,0.57,WooCommerce,jewelry,merchant_fulfilled,organic,2026-02-14,2026-05-20,flippa,completed,85,Jewelry marketplace
425000,745000,149000,0.57,Shopify,home,merchant_fulfilled,paid_ads,2026-01-10,2026-04-18,flippa,completed,82,Home goods auction
385000,675000,135000,0.57,Amazon FBM,books,merchant_fulfilled,organic,2025-12-20,2026-03-30,flippa,completed,80,Books & education
340000,595000,119000,0.57,Shopify,crafts,merchant_fulfilled,email_marketing,2025-11-15,2026-02-25,flippa,completed,78,Crafts marketplace
305000,535000,107000,0.57,WooCommerce,garden,merchant_fulfilled,organic,2025-10-20,2026-01-28,flippa,completed,75,Garden products
890000,1560000,312000,0.57,Shopify,sports,merchant_fulfilled,paid_ads,2026-07-05,NULL,flippa,for_sale,88,Sports equipment niche
760000,1330000,266000,0.57,Amazon FBA,gaming,FBA,organic,2026-06-15,NULL,flippa,for_sale,85,Gaming products
685000,1200000,240000,0.57,Shopify,fitness,merchant_fulfilled,email_marketing,2026-05-20,NULL,flippa,for_sale,82,Fitness gear
595000,1040000,208000,0.57,WooCommerce,outdoor,merchant_fulfilled,organic,2026-04-25,2026-06-10,flippa,completed,88,Outdoor recreation
535000,935000,187000,0.57,Amazon FBA,music,FBA,organic,2026-03-30,2026-06-01,flippa,completed,85,Music instruments
485000,850000,170000,0.57,Shopify,photography,merchant_fulfilled,paid_ads,2026-02-28,2026-05-15,flippa,completed,82,Photography equipment
440000,770000,154000,0.57,WooCommerce,watches,merchant_fulfilled,organic,2026-01-31,2026-04-20,flippa,completed,80,Watch niche
390000,685000,137000,0.57,Shopify,bags,merchant_fulfilled,email_marketing,2025-12-25,2026-03-28,flippa,completed,78,Bag & luggage
345000,605000,121000,0.57,Amazon FBM,shoes,merchant_fulfilled,organic,2025-11-20,2026-02-28,flippa,completed,75,Shoe marketplace
310000,545000,109000,0.57,Shopify,hats,merchant_fulfilled,paid_ads,2025-10-15,2026-01-30,flippa,completed,72,Headwear niche
250000,438000,87600,0.57,Shopify,leather goods,merchant_fulfilled,organic,2026-06-10,NULL,flippa,for_sale,80,Leather accessories
220000,385000,77000,0.57,Amazon FBA,clothing,FBA,organic,2026-05-15,NULL,flippa,for_sale,78,Clothing line
195000,340000,68000,0.57,WooCommerce,shoes,merchant_fulfilled,email_marketing,2026-04-20,NULL,flippa,for_sale,75,Footwear
175000,305000,61000,0.57,Shopify,outerwear,merchant_fulfilled,paid_ads,2026-03-25,NULL,flippa,for_sale,72,Outerwear brand
155000,270000,54000,0.57,Amazon FBA,activewear,FBA,organic,2026-02-28,NULL,flippa,for_sale,70,Athletic wear
135000,235000,47000,0.57,WooCommerce,basics,merchant_fulfilled,organic,2026-01-31,NULL,flippa,for_sale,68,Basics collection
120000,210000,42000,0.57,Shopify,streetwear,merchant_fulfilled,email_marketing,2025-12-20,NULL,flippa,for_sale,65,Street fashion
105000,185000,37000,0.57,Shopify,dresses,merchant_fulfilled,paid_ads,2025-11-15,2026-02-20,flippa,completed,70,Dress boutique
92000,160000,32000,0.58,Amazon FBA,tops,FBA,organic,2025-10-10,2026-01-25,flippa,completed,68,Tops & shirts
82000,143000,28600,0.57,WooCommerce,jeans,merchant_fulfilled,organic,2025-09-05,2025-12-28,flippa,completed,65,Denim marketplace
395000,685000,137000,0.58,Shopify,skincare,merchant_fulfilled,email_marketing,2026-07-01,NULL,flippa,for_sale,85,Beauty & skincare
355000,620000,124000,0.57,Amazon FBA,haircare,FBA,organic,2026-06-05,NULL,flippa,for_sale,82,Hair products
320000,560000,112000,0.57,WooCommerce,wellness,merchant_fulfilled,paid_ads,2026-05-10,NULL,flippa,for_sale,80,Wellness products
285000,495000,99000,0.58,Shopify,perfume,merchant_fulfilled,organic,2026-04-15,2026-06-01,flippa,completed,87,Fragrance marketplace
255000,445000,89000,0.57,Amazon FBA,makeup,FBA,organic,2026-03-20,2026-05-30,flippa,completed,85,Makeup line
228000,400000,80000,0.57,Shopify,cosmetics,merchant_fulfilled,email_marketing,2026-02-25,2026-05-15,flippa,completed,82,Cosmetics store
204000,360000,72000,0.57,WooCommerce,nails,merchant_fulfilled,paid_ads,2026-01-30,2026-04-20,flippa,completed,80,Nail care niche
182000,320000,64000,0.57,Shopify,skincare,merchant_fulfilled,organic,2025-12-31,2026-03-28,flippa,completed,78,Skincare regimen
162000,285000,57000,0.57,Amazon FBA,facemask,FBA,organic,2025-11-26,2026-02-28,flippa,completed,75,Sheet masks & facemasks
145000,255000,51000,0.57,WooCommerce,serums,merchant_fulfilled,email_marketing,2025-10-21,2026-01-30,flippa,completed,72,Serum products
130000,228000,45600,0.57,Shopify,moisturizer,merchant_fulfilled,paid_ads,2025-09-16,2026-01-10,flippa,completed,70,Moisturizers & lotions
115000,200000,40000,0.58,Amazon FBA,sunscreen,FBA,organic,2025-08-11,2025-12-20,flippa,completed,68,Sun protection line
102000,178000,35600,0.57,Shopify,lip,merchant_fulfilled,organic,2026-06-20,NULL,flippa,for_sale,75,Lip care products
92000,160000,32000,0.58,WooCommerce,eye,merchant_fulfilled,email_marketing,2026-05-25,NULL,flippa,for_sale,72,Eye care range
82000,143000,28600,0.57,Shopify,complexion,merchant_fulfilled,paid_ads,2026-04-30,NULL,flippa,for_sale,70,Complexion products
